"filename", "language", "PHP", "Markdown", "XML", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\istash\README.md", "Markdown", 0, 45, 0, 0, 0, 0, 0, 22, 67
"c:\xampp\htdocs\istash\app\Http\Controllers\Controller.php", "PHP", 5, 0, 0, 0, 0, 0, 1, 3, 9
"c:\xampp\htdocs\istash\app\Models\Post.php", "PHP", 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\istash\app\Models\User.php", "PHP", 25, 0, 0, 0, 0, 0, 17, 7, 49
"c:\xampp\htdocs\istash\app\Providers\AppServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 8, 5, 25
"c:\xampp\htdocs\istash\bootstrap\app.php", "PHP", 14, 0, 0, 0, 0, 0, 2, 3, 19
"c:\xampp\htdocs\istash\bootstrap\providers.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\xampp\htdocs\istash\composer.json", "JSON", 0, 0, 0, 74, 0, 0, 0, 1, 75
"c:\xampp\htdocs\istash\composer.lock", "JSON", 0, 0, 0, 8076, 0, 0, 0, 1, 8077
"c:\xampp\htdocs\istash\config\app.php", "PHP", 22, 0, 0, 0, 0, 0, 82, 23, 127
"c:\xampp\htdocs\istash\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 74, 14, 116
"c:\xampp\htdocs\istash\config\cache.php", "PHP", 57, 0, 0, 0, 0, 0, 34, 18, 109
"c:\xampp\htdocs\istash\config\database.php", "PHP", 109, 0, 0, 0, 0, 0, 43, 23, 175
"c:\xampp\htdocs\istash\config\filesystems.php", "PHP", 36, 0, 0, 0, 0, 0, 32, 13, 81
"c:\xampp\htdocs\istash\config\logging.php", "PHP", 79, 0, 0, 0, 0, 0, 33, 21, 133
"c:\xampp\htdocs\istash\config\mail.php", "PHP", 55, 0, 0, 0, 0, 0, 43, 19, 117
"c:\xampp\htdocs\istash\config\queue.php", "PHP", 52, 0, 0, 0, 0, 0, 44, 17, 113
"c:\xampp\htdocs\istash\config\services.php", "PHP", 20, 0, 0, 0, 0, 0, 11, 8, 39
"c:\xampp\htdocs\istash\config\session.php", "PHP", 23, 0, 0, 0, 0, 0, 160, 35, 218
"c:\xampp\htdocs\istash\database\factories\UserFactory.php", "PHP", 25, 0, 0, 0, 0, 0, 14, 6, 45
"c:\xampp\htdocs\istash\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 38, 0, 0, 0, 0, 0, 6, 6, 50
"c:\xampp\htdocs\istash\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 25, 0, 0, 0, 0, 0, 6, 5, 36
"c:\xampp\htdocs\istash\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 46, 0, 0, 0, 0, 0, 6, 6, 58
"c:\xampp\htdocs\istash\database\migrations\2025_03_23_100325_create_posts_table.php", "PHP", 18, 0, 0, 0, 0, 0, 6, 4, 28
"c:\xampp\htdocs\istash\database\seeders\DatabaseSeeder.php", "PHP", 14, 0, 0, 0, 0, 0, 5, 5, 24
"c:\xampp\htdocs\istash\package.json", "JSON", 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\xampp\htdocs\istash\phpunit.xml", "XML", 0, 0, 31, 0, 0, 0, 2, 1, 34
"c:\xampp\htdocs\istash\public\index.php", "PHP", 10, 0, 0, 0, 0, 0, 4, 7, 21
"c:\xampp\htdocs\istash\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 10, 0, 3, 13
"c:\xampp\htdocs\istash\resources\js\app.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\xampp\htdocs\istash\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 2, 5
"c:\xampp\htdocs\istash\resources\views\welcome.blade.php", "PHP", 270, 0, 0, 0, 0, 0, 0, 8, 278
"c:\xampp\htdocs\istash\routes\console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\xampp\htdocs\istash\routes\web.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\xampp\htdocs\istash\tests\Feature\ExampleTest.php", "PHP", 11, 0, 0, 0, 0, 0, 4, 5, 20
"c:\xampp\htdocs\istash\tests\TestCase.php", "PHP", 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\istash\tests\Unit\ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 3, 4, 17
"c:\xampp\htdocs\istash\vite.config.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 2, 14
"Total", "-", 1031, 45, 31, 8166, 16, 10, 642, 315, 10256
